team,url,ncaa_id,stats_name,twitter,team_state,conference,division
Florida Gulf Coast,https://fgcuathletics.com/sports/womens-basketball,28755,Fgcu,fgcu_wbb,FL,ASUN,I
Fordham,https://fordhamsports.com/sports/womens-basketball,236,Fordham,FordhamWBB,NY,Atlantic 10,I
Fresno State,https://gobulldogs.com/sports/womens-basketball,96,Fresno St.,fresnostatewbb,CA,Mountain West,I
Florida St,https://seminoles.com/sports/womens-basketball,234,Florida St.,fsuwbb,FL,ACC,I
Cal State Fullerton,https://fullertontitans.com/sports/womens-basketball,97,Cal St. Fullerton,fullertonwbb,CA,Big West,I
Furman,https://furmanpaladins.com/sports/womens-basketball,244,Furman,furmanwbb,SC,SoCon,I
Saint Mary's (CA),https://smcgaels.com/sports/womens-basketball,610,Saint Mary's (CA),gaelswbb,CA,WCC,I
Grand Canyon,https://gculopes.com/sports/womens-basketball,1104,Grand Canyon,gcu_wbb,AZ,WAC,I
Cincinnati,https://gobearcats.com/sports/womens-basketball,140,Cincinnati,gobearcatswbb,OH,AAC,I
Campbell,https://gocamels.com/sports/womens-basketball,115,Campbell,gocamelswbb,NC,Big South,I
Northern Illinois,https://niuhuskies.com/sports/womens-basketball,503,Northern Ill.,gohuskieswbb,IL,MAC,I
Minnesota,https://gophersports.com/sports/womens-basketball,428,Minnesota,gopherwbb,MN,Big Ten,I
Wichita State,https://goshockers.com/sports/womens-basketball,782,Wichita St.,goshockerswbb,KS,AAC,I
Tulane,https://tulanegreenwave.com/sports/womens-basketball,718,Tulane,greenwavewbb,LA,AAC,I
Canisius,https://gogriffs.com/sports/womens-basketball,116,Canisius,griffswbb,NY,MAAC,I
Georgia Southern,https://gseagles.com/sports/womens-basketball,253,Ga. Southern,gsathletics_wbb,GA,Sun Belt,I
Georgia State,https://georgiastatesports.com/sports/womens-basketball,254,Georgia State,gsu_wbb,GA,Sun Belt,I
Georgia Tech,https://ramblinwreck.com/sports/w-baskbl/,255,Georgia Tech,gtwbb,GA,ACC,I
Hartford,https://hartfordhawks.com/sports/womens-basketball,272,Hartford,hartfordwbb,CT,DI Independent,I
Harvard,https://gocrimson.com/sports/womens-basketball,275,Harvard,harvardwbb,MA,Ivy League,I
Hawaii,https://hawaiiathletics.com/sports/womens-basketball,277,Hawaii,hawaiiwbb,HI,Big West,I
Houston Christian,https://hcuhuskies.com/sports/womens-basketball,287,,HCUWBB,TX,Southland,I
Holy Cross,https://goholycross.com/sports/womens-basketball,285,Holy Cross,hcrosswbb,MA,Patriot,I
Marshall,https://herdzone.com/sports/womens-basketball,388,Marshall,herdwbb,WV,Sun Belt,I
Hofstra,https://gohofstra.com/sports/womens-basketball,283,Hofstra,hofstrawbb,NY,CAA,I
Howard,https://hubison.com/sports/womens-basketball,290,Howard,Howard_WBB,DC,MEAC,I
High Point,https://highpointpanthers.com/sports/womens-basketball,19651,High Point,hpuwbb,NC,Big South,I
Indiana State,https://gosycamores.com/sports/womens-basketball,305,Indiana St.,indstwbb,IN,MVC,I
Southern,https://gojagsports.com/sports/womens-basketball,665,Southern U.,jaguarswbb,LA,SWAC,I
Jacksonville,https://judolphins.com/sports/womens-basketball,316,Jacksonville,jax_wbb,FL,ASUN,I
Kent State,https://kentstatesports.com/sports/womens-basketball,331,Kent St.,kentstwbb,OH,MAC,I
Kennesaw State,https://ksuowls.com/sports/womens-basketball,1157,Kennesaw St.,ksuowlswbb,GA,ASUN,I
Kansas,https://kuathletics.com/sports/wbball,328,Kansas,kuwbball,KS,Big 12,I
Texas Tech,https://texastech.com/sports/womens-basketball,700,Texas Tech,ladyraiderwbb,TX,Big 12,I
Lafayette,https://goleopards.com/sports/womens-basketball,342,Lafayette,lafayettewbb,PA,Patriot,I
Lamar,https://lamarcardinals.com/sports/womens-basketball,346,Lamar University,lamarwbb,TX,Southland,I
